"Nombre de la cuenta";"Sector";"Tipo";"Propietario de la cuenta";"Fecha de la última modificación"
"TECNICEL CONTROL SAS";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"AIC INTERNACIONAL";"INGENIERIA";"Customer";"Juan Garzón Linares";"12/08/2025"
"EGESTEC S.A.S.";"INGENIERIA";"Integrator";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"JUAN GUARNIZO";"INGENIERIA";"Investor";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"C&S INGENIERIA LTDA";"INGENIERIA";"Integrator";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"AL INGENIEROS S.A.";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"AWM AUTOMATIZACION Y CONTROL S.A.S";"INGENIERIA";"Integrator";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"ALFONSO ESPINOSA";"INGENIERIA";"Integrator";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"Tecnicentro TYG";"INGENIERIA";"Customer";"JHOAN ORTIZ";"16/04/2024"
"ECOROCA";"INGENIERIA";"Customer";"JHOAN ORTIZ";"8/04/2024"
"PROGRAMING SAS";"INGENIERIA";"Customer";"JHOAN ORTIZ";"8/04/2024"
"MEGA PROYECTOS DE TECNOLOGÍA";"INGENIERIA";"Customer";"Juan Garzón Linares";"12/08/2025"
"AYC AUTOMATIZACION Y CONTROL INGENIERIA";"INGENIERIA";"Customer";"LIZETH MARTINEZ";"11/04/2024"
"AREZ INGENIERÍA";"INGENIERIA";"Integrator";"Juan Garzón Linares";"12/08/2025"
"SYSTELM - ELECTRONIC";"INGENIERIA";"Integrator";"Juan Garzón Linares";"15/08/2025"
"DISTECNA S.A.S";"INGENIERIA";"Integrator";"HERNAN ROLDAN";"12/08/2025"
"BOBINACOL";"INGENIERIA";"Customer";"Juan Garzón Linares";"12/08/2025"
"ASSET MANAGEMENT RESOURCES AMR SAS";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"EMSEC S.A.S";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"METROLOGIA Y CONTROL SAS";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"CIDEFER SAS";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"P&P INGENIEROS";"INGENIERIA";"Customer";"KAREN CARRILLO";"22/01/2025"
"ESPINCONTROL S.A.S.";"INGENIERIA";"Integrator";"Juan Garzón Linares";"12/08/2025"
"JHD SOLUCIONES INTEGRALES";"INGENIERIA";"Integrator";"Juan Garzón Linares";"13/08/2025"
"AUTOMATIZACION, CONTROL E INSTRUMENTACIÓN SAS";"INGENIERIA";"Customer";"Juan Garzón Linares";"13/08/2025"
"INS S.A.";"INGENIERIA";"Customer";"Juan Garzón Linares";"13/08/2025"
"EMIFETED";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"SAMCO INGENIERIA";"INGENIERIA";"Integrator";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"INTEGRA ELECTRICA";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"INTEGRA ELECTRICA";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"VALVULAS Y SERVICIOS INDUSTRIALES SAS";"INGENIERIA";"Customer";"HERNAN ROLDAN";"12/08/2025"
"ANTHARTIK";"INGENIERIA";"Customer";"HERNAN ROLDAN";"8/04/2024"
"Ingenieria y suministros SAS";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"MG PRODINS";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"BFOCUS TECHNOLOGIES";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"Sebastian Velandia";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"DI-MATIC";"INGENIERIA";"Customer";"HERNAN ROLDAN";"12/08/2025"
"Viga Engine SAS";"INGENIERIA";"Customer";"HERNAN ROLDAN";"26/08/2025"
"ELECTROSISTEL";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"MIT Ingenieria SAS";"INGENIERIA";"Customer";"HERNAN ROLDAN";"15/08/2025"
"INDUSTRIAS AVM";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"MOVITECNICA";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"INDUSTRIAS AVM";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"GENERAL RIG SERVICES S.A.S";"INGENIERIA";"Customer";"HERNAN ROLDAN";"15/07/2024"
"GEOAMBIENTAL S.A.S";"INGENIERIA";"Customer";"HERNAN ROLDAN";"18/06/2024"
"EDECOL ELECTRICOS DE COLOMBIA SA";"INGENIERIA";"Customer";"HERNAN ROLDAN";"15/07/2024"
"AVIATEK SAS";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"Fabrimontajes Industriales";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"EQUIPOS HIDRÁULICOS SAS";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"HIDRONORTE";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"INTECOL";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"INGEINDUSTRIAL";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"INFRAESTRUCTURAS Y MONTAJES COES S.A.S";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"SIMAQPRO";"INGENIERIA";"Integrator";"MELISSA PEREZ";"20/08/2025"
"REDELEC INGENIEROS S.A.S";"INGENIERIA";"Integrator";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"CCOL PROYECTOS SAS";"INGENIERIA";"Customer";"HERNAN ROLDAN";"26/08/2025"
"POILGAS";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"PVH-PVHARDWARE.";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"EDUCATIA S.A.S";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"DYT PROYECTO";"INGENIERIA";"Customer";"HERNAN ROLDAN";"2/09/2025"
"Avocado Innovation";"INGENIERIA";"Customer";"HERNAN ROLDAN";"12/04/2024"
"CODIMAN ELECTROMECANICOS";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"ICM INGENIERIA";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"Prohvac";"INGENIERIA";"Customer";"HERNAN ROLDAN";"26/08/2025"
"MAVICONTROL";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"WATER ING SAS";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"AC INGENIEROS";"INGENIERIA";"Integrator";"HERNAN ROLDAN";"8/04/2024"
"SENERGY SUPPLY";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"INZYNIER LTDA";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"ASESORÍAS INTEGRALES MJM SAS";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"INGEMA SAS";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"Grupo Milligram";"INGENIERIA";"Customer";"HERNAN ROLDAN";"12/08/2025"
"DUVANA";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"Interparts.co SAS";"INGENIERIA";"Customer";"HERNAN ROLDAN";"26/08/2025"
"POWERTEK S.A.S";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"PALOMINO SOLUCIONES Y TECNOLOGIA";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"MAYEKAWA";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"INSTRUMENTOS Y AUTOMATISMOS";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"SIGMA";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"Electromotores Casanare";"INGENIERIA";"Customer";"HERNAN ROLDAN";"12/08/2025"
"LOGIC ELECRONICS SAS";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"Smart Ingeniería";"INGENIERIA";"Customer";"HERNAN ROLDAN";"26/08/2025"
"RMAS Ingenieria";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"Construpozos";"INGENIERIA";"Customer";"KAREN CARRILLO";"20/01/2025"
"COPES SAS";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"FREDY CARDENAS";"INGENIERIA";"Customer";"HERNAN ROLDAN";"22/08/2025"
"Urquijo Ingenieria";"INGENIERIA";"Integrator";"KAREN CARRILLO";"20/01/2025"
"LOIRE S.A.S. ESP";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"RADAR PROCESS";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"HONEYWELL";"INGENIERIA";"Customer";"Juan Garzón Linares";"14/08/2025"
"SORC INGENIERIA";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"ASCENSORES SCHINDLER DE COLOMBIA S.A.S";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"AFILMEC";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"SKIN PRO";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"Transformadores Tesla";"INGENIERIA";"Customer";"HERNAN ROLDAN";"12/08/2025"
"Peña de Santander";"INGENIERIA";"Customer";"HERNAN ROLDAN";"18/06/2024"
"DS INGENIERIA";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"Universalpack group";"INGENIERIA";"Customer";"HERNAN ROLDAN";"26/08/2025"
"SIDAM LTDA";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"ALTAMAR EQUIPOS";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"INGETEC SAS";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"SINGERCOL";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"ELECTRICIDAD GENERAL";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"INGENIERÍA Y EQUIPOS LAS 7 ESTRELLAS";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"NETCORE TECHNOLOGY";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"Lineal Engineering";"INGENIERIA";"Integrator";"HERNAN ROLDAN";"26/08/2025"
"LEMOR COLOMBIA S.A.S";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"MB SOLUCIONES";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"VFD INGENIERIA";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"ELECTROINDUSTRIALES RAMIREZ E HIJOS";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"SANTAMARIA CASTAÑO INGENIEROS";"INGENIERIA";"Customer";"LIZETH MARTINEZ";"11/04/2024"
"INAUPRO";"INGENIERIA";"Integrator";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"SAUFER SOLUCIONES LTDA";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"INGENIERIA ESPECIALIZADA Y PROCESOS";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"MECHANICAL AUTOMATION ENG SAS";"INGENIERIA";"Customer";"Juan Garzón Linares";"2/04/2025"
"SUMINACOL -Suminaguas De Colombia Sas";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"ASIMTEC";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"EMPAQUES Y MÁQUINAS BOGOTÁ SAS";"INGENIERIA";"Customer";"LIZETH MARTINEZ";"9/04/2024"
"SOLUCIONES ELECTRICAS SENG SAS";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"Ingelsac";"INGENIERIA";"Customer";"HERNAN ROLDAN";"26/08/2025"
"GL INGENIEROS - GRUPO LOPERA INGENIEROS SA";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"GROW, IN GOOD HANDS S.A.S";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"3D AUTOMATIZACIÓN";"INGENIERIA";"Customer";"LIZETH MARTINEZ";"5/04/2024"
"SITLAB";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"Halud Ingenieria";"INGENIERIA";"Integrator";"KAREN CARRILLO";"8/07/2024"
"AUTENG";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"DOLPHIN INGENIERIA SAS";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"HIDALGO E HIDALGO COLOMBIA S.A.S";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"TECPI SAS";"INGENIERIA";"Integrator";"MELISSA PEREZ";"20/08/2025"
"COINDTEC";"INGENIERIA";"Integrator";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"Crown Colombiana S A";"INGENIERIA";"Analyst";"HERNAN ROLDAN";"23/04/2024"
"MTA DE COLOMBIA";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"DTEC";"INGENIERIA";"Customer";"Juan Garzón Linares";"14/08/2025"
"INCOAMBIENTAL";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"STEAM FLUID";"INGENIERIA";"Customer";"LIZETH MARTINEZ";"28/01/2025"
"IMSACOL - INGENIERIA Y MANTENIMIENTO SAS";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"COMPAÑÍA DE TRABAJOS URBANOS SAS";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"GESIS CONEXIONES ELECTRICAS";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"PESA MATIC SAS";"INGENIERIA";"Customer";"MELISSA PEREZ";"21/08/2025"
"VOLTPROJECT S.A.S.";"INGENIERIA";"Customer";"LIZETH MARTINEZ";"30/04/2025"
"IIE INGENIERIA";"INGENIERIA";"Customer";"MELISSA PEREZ";"21/08/2025"
"ELECTROINSTRUMENTACIÓN S.A.S";"INGENIERIA";"Customer";"MELISSA PEREZ";"21/08/2025"
"FC MECATRONICA";"INGENIERIA";"Customer";"MELISSA PEREZ";"21/08/2025"
"DOSIFICATOR";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"Pointer Instruments SAS (claudia)";"INGENIERIA";"Integrator";"LIZETH MARTINEZ";"30/04/2025"
"ESSI";"INGENIERIA";"Other";"MELISSA PEREZ";"21/08/2025"
"ICOBANDAS S.A.";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"SICME INGENIERIA S.A.S.";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"SIEMENS S.A.";"INGENIERIA";"Other";"Juan Garzón Linares";"14/08/2025"
"TECVAL";"INGENIERIA";"Integrator";"Juan Garzón Linares";"14/08/2025"
"NEXATROL";"INGENIERIA";"Other";"MELISSA PEREZ";"21/08/2025"
"HL INGENIEROS";"INGENIERIA";"Customer";"HERNAN ROLDAN";"26/08/2025"
"EBYFIVE";"INGENIERIA";"Customer";"Juan Garzón Linares";"14/08/2025"
"REFRISISTEMAS INDUSTRIALES S.A.S";"INGENIERIA";"Other";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"JEP INGENIERIA";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"TRES PULGADAS S.A.S";"INGENIERIA";"Integrator";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"GM COMERCIALIZADORA";"INGENIERIA";"Integrator";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"AUTOMATIZACIÓN INTEGRADA";"INGENIERIA";"Integrator";"LIZETH MARTINEZ";"9/04/2024"
"METALSUR";"INGENIERIA";"Customer";"MELISSA PEREZ";"21/08/2025"
"AUTOMEX";"INGENIERIA";"Integrator";"Juan Garzón Linares";"14/08/2025"
"JOSÉ EDILBERTO ANDRADE";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"INALRED LTDA";"INGENIERIA";"Customer";"Juan Garzón Linares";"14/08/2025"
"INDEPENDIENTE";"INGENIERIA";"Customer";"Juan Garzón Linares";"14/08/2025"
"NERPACK";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"SCHRADER CAMARGO S.A.";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"ETECON";"INGENIERIA";"Customer";"YENI OLARTE";"26/11/2024"
"SUPPLIE INDUSTRY S.A.S.";"INGENIERIA";"Customer";"LIZETH MARTINEZ";"26/11/2024"
"FCD SOLUCIONES INDUSTRIALES";"INGENIERIA";"Customer";"JHOAN ORTIZ";"26/11/2024"
"I3E S.A.S";"INGENIERIA";"Customer";"YENI OLARTE";"26/11/2024"
"ROMULO ALARCÓN";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"GRUPO ELECTRICO INGENIERIA";"INGENIERIA";"Customer";"Juan Garzón Linares";"14/08/2025"
"TECNIELECTRICA";"INGENIERIA";"Customer";"YENI OLARTE";"26/11/2024"
"AUTOMATION P&E SAS";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"JF ING";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"Siot Ingeniería";"INGENIERIA";"Customer";"JHOAN ORTIZ";"5/04/2024"
"IMOSER INGENIEROS SAS";"INGENIERIA";"Customer";"LIZETH MARTINEZ";"28/01/2025"
"INGENIELECTRICJE";"INGENIERIA";"Customer";"Juan Garzón Linares";"14/08/2025"
"H D&S Distribuciones y Subestaciones S.A.S.";"INGENIERIA";"Customer";"HERNAN ROLDAN";"12/08/2025"
"ACUAINGENIERIA ó SEKO";"INGENIERIA";"Customer";"KAREN CARRILLO";"20/01/2025"
"INDEPENDENCE SA";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"CASYBER LTDA";"INGENIERIA";"Customer";"MELISSA PEREZ";"21/08/2025"
"ANDRITZ HIDRO LTDA";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"SIPT";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"ProMinent Colombia S.A.S.";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"ELECTROMECANICA E y S LTDA";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"MACGP S.A.S.";"INGENIERIA";"Customer";"MELISSA PEREZ";"21/08/2025"
"WESTING ELECTRIC S.A.S";"INGENIERIA";"Customer";"YENI OLARTE";"26/11/2024"
"FLUID CONTROL S.A.S";"INGENIERIA";"Customer";"MELISSA PEREZ";"21/08/2025"
"GÓMEZ CAJIAO";"INGENIERIA";"Customer";"MELISSA PEREZ";"21/08/2025"
"CONSULTORES E INGENIEROS ABESAN LTDA";"INGENIERIA";"Customer";"JHOAN ORTIZ";"26/11/2024"
"TRADEVAL";"INGENIERIA";"Customer";"JHOAN ORTIZ";"16/04/2024"
"INELCO";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"INSOLTEC LTDA";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"NSTEC S.A.S.";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"INGEKRONOS";"INGENIERIA";"Integrator";"Juan Garzón Linares";"15/08/2025"
"S&P COLOMBIA S.A.S";"INGENIERIA";"Customer";"JHOAN ORTIZ";"16/04/2024"
"D&O AUTOMATIZACIONES Y PROCESOS SAS";"INGENIERIA";"Customer";"JHOAN ORTIZ";"5/04/2024"
"SCHRADER CAMARGO S..A.";"INGENIERIA";"Prospect";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"HISAN S.A.";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"INSTRUCONT";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"DIELECT SAS";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"MECSO SAS";"INGENIERIA";"Customer";"MELISSA PEREZ";"21/08/2025"
"EFICIENCIA ENERGETICA";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"15/08/2025"
"SAIRV";"INGENIERIA";"Customer";"MELISSA PEREZ";"21/08/2025"
"AUTOMATX E.U";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"SKYTECH";"INGENIERIA";"Customer";"Juan Garzón Linares";"14/08/2025"
"SOHIDMEC S.A.S";"INGENIERIA";"Customer";"YENI OLARTE";"27/11/2024"
"ENEFENCO";"INGENIERIA";"Customer";"Juan Garzón Linares";"14/08/2025"
"TOP DRIVE (claudia)";"INGENIERIA";"Customer";"LIZETH MARTINEZ";"30/04/2025"
"INDUSTRIAS ASOCIADAS";"INGENIERIA";"Customer";"LIZETH MARTINEZ";"9/04/2024"
"SUMINISTROS INDUSTRIALES JED";"INGENIERIA";"Customer";"MELISSA PEREZ";"21/08/2025"
"STI PROYECTOS SAS";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"CONTROL FACTORY";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"SSIC INGENIERÍA";"INGENIERIA";"Customer";"JHOAN ORTIZ";"16/04/2024"
